pid,0,2,4,6,8,12,15,19,21,22,24,26,34,37,38,41,46,47,49
85,4,3,4,4,4,4,4,5,5,4,4,4,4,3,4,5,3,4,5
86,6,5,6,7,6,5,4,5,5,6,4,7,6,2,5,3,6,3,4
87,1,1,1,1,1,1,1,7,7,3,1,7,2,7,1,6,1,4,2
88,3,5,5,5,4,4,3,5,4,3,4,4,4,2,4,4,3,4,4
89,1,1,1,1,2,1,7,6,6,1,1,1,1,4,2,6,2,6,6
90,2,4,5,5,6,4,4,5,3,2,6,5,5,1,5,6,6,3,3
91,1,1,1,1,2,1,6,7,6,1,1,3,1,7,1,7,1,7,6
92,3,3,2,5,4,3,4,5,5,4,3,3,3,5,3,2,4,5,4
93,2,2,2,2,3,2,5,6,5,2,2,1,2,4,1,6,3,6,4
94,1,2,2,6,2,1,3,4,2,3,1,4,2,2,2,6,1,5,2
95,2,3,2,4,5,3,2,5,6,2,3,4,4,4,2,5,4,3,2
96,2,2,2,2,2,2,6,6,7,1,3,2,1,6,2,6,2,6,7
97,5,5,6,6,5,5,5,2,5,6,5,4,2,2,6,3,5,4,4
98,4,3,2,1,3,3,6,4,6,3,3,4,3,3,3,6,2,5,5
99,7,7,7,7,7,7,1,1,2,7,7,7,7,1,7,1,7,2,2
